# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1322
#@/user_id	f1c9d795-0135-4a3d-9b4c-a295cde06be4
mian 	面	c=1 d=0.0617291 t=1322
miao 	秒	c=1 d=0.0141223 t=1322
min 	敏	c=1 d=0.0101022 t=1322
min zu 	民族	c=1 d=0.0598154 t=1322
min zu wu 	民族舞	c=1 d=0.0536647 t=1322
ming chao 	明朝	c=0 d=0.0158025 t=1322
ming chao mo nian 	明朝末年	c=1 d=0.158817 t=1322
ming liang 	明亮	c=1 d=0.00223168 t=1322
ming tian 	明天	c=1 d=0.00369786 t=1322
ming zi 	名字	c=1 d=0.514274 t=1322
mo 	末	c=1 d=0.145148 t=1322
mo 	魔	c=1 d=0.144424 t=1322
mo nian 	末年	c=0 d=0.0158025 t=1322
mu ban 	模板	c=1 d=0.211189 t=1322
mu lu 	目录	c=1 d=0.00864661 t=1322
mu you 	木有	c=1 d=0.0319048 t=1322
na 	那	c=4 d=0.595284 t=1322
na bian 	那边	c=1 d=0.0168231 t=1322
na me 	那么	c=3 d=0.97532 t=1322
na me jiu 	那么久	c=1 d=0.0202419 t=1322
na n 	那嗯	c=1 d=0.017249 t=1322
na shi 	那是	c=1 d=0.778801 t=1322
na zhang 	那张	c=1 d=0.565525 t=1322
ne 	呢	c=2 d=1.55001 t=1322
nei rong 	内容	c=1 d=0.360595 t=1322
neng 	能	c=1 d=0.00431784 t=1322
ni 	你	c=23 d=2.01058 t=1322
nian 	年	c=5 d=0.606158 t=1322
nian di 	年底	c=1 d=0.0149956 t=1322
ning yuan 	宁愿	c=1 d=0.0265162 t=1322
nv ren 	女人	c=1 d=0.0285814 t=1322
pai 	排	c=0 d=0.000211225 t=1322
pai chu 	排除	c=1 d=0.0587185 t=1322
pai ge zhao 	拍个照	c=1 d=0.00377257 t=1322
pao 	跑	c=0 d=0.00257325 t=1322
pao guo qu 	跑过去	c=1 d=0.0258615 t=1322
pei zhi 	配置	c=6 d=1.85549 t=1322
pi fu 	皮肤	c=2 d=0.00566361 t=1322
pian 	篇	c=1 d=0.694197 t=1322
pian duo 	偏多	c=1 d=0.0837432 t=1322
pian fu 	篇幅	c=1 d=0.090718 t=1322
pian yuan 	偏远	c=1 d=0.0325493 t=1322
piao 	票	c=2 d=0.0322585 t=1322
ping an 	平安	c=2 d=0.0437802 t=1322
qi chuang 	起床	c=4 d=1.10964 t=1322
qi lai 	起来	c=1 d=0.318224 t=1322
qi shi 	其实	c=1 d=0.453845 t=1322
qian 	前	c=1 d=0.0916297 t=1322
qian she 	牵涉	c=2 d=0.359932 t=1322
qie huan 	切换	c=1 d=0.00278085 t=1322
qin wang 	亲王	c=1 d=0.0871609 t=1322
qing 	青	c=1 d=0.142987 t=1322
qing kuang 	情况	c=1 d=0.0437178 t=1322
qing xi 	清洗	c=1 d=0.00339653 t=1322
qing xu 	情绪	c=1 d=0.0459593 t=1322
qiu 	球	c=1 d=0.0188734 t=1322
qu 	去	c=2 d=0.456206 t=1322
qu dong 	驱动	c=1 d=0.00802655 t=1322
qu wei 	趣味	c=0 d=0.0631284 t=1322
